"","X.1","match_id","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id.1","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction","gametime"
"1",14,14116,377617,88,"MissedShots",0.936999969482422,0.66,0.0449945777654648,"Patrick Cutrone","h",4918,"OpenPlay",2020,"LeftFoot",14116,"Fiorentina","Torino",1,0,"2020-09-19 16:00:00","Pol Lirola","Cross",1
"2",15,14116,377618,89,"SavedShot",0.805999984741211,0.47,0.0632984936237335,"Patrick Cutrone","h",4918,"OpenPlay",2020,"RightFoot",14116,"Fiorentina","Torino",1,0,"2020-09-19 16:00:00",NA,"Dispossessed",1
"3",5,14117,377704,56,"BlockedShot",0.843000030517578,0.739000015258789,0.0277896765619516,"Mattia Zaccagni","h",1958,"OpenPlay",2020,"RightFoot",14117,"Verona","Roma",0,0,"2020-09-19 18:45:00","Federico Dimarco","Pass",41
"4",26,14117,377711,82,"BlockedShot",0.781999969482422,0.696999969482422,0.0135014010593295,"Justin Kluivert","a",6963,"FromCorner",2020,"RightFoot",14117,"Verona","Roma",0,0,"2020-09-19 18:45:00",NA,"Aerial",8
"5",6,14118,377818,95,"BlockedShot",0.820999984741211,0.552000007629394,0.0494737401604652,"Jacopo Dezi","h",2005,"OpenPlay",2020,"LeftFoot",14118,"Parma Calcio 1913","Napoli",0,2,"2020-09-20 10:30:00","Andreas Cornelius","Pass",21
"6",18,14118,377810,69,"MissedShots",0.898000030517578,0.564000015258789,0.0933914855122566,"Victor Osimhen","a",5322,"OpenPlay",2020,"Head",14118,"Parma Calcio 1913","Napoli",0,2,"2020-09-20 10:30:00","Lorenzo Insigne","Cross",28
"7",21,14118,377813,79,"MissedShots",0.85,0.288999996185303,0.0556671693921089,"Victor Osimhen","a",5322,"OpenPlay",2020,"RightFoot",14118,"Parma Calcio 1913","Napoli",0,2,"2020-09-20 10:30:00","Giovanni Di Lorenzo","Pass",28
"8",23,14118,377816,87,"SavedShot",0.770999984741211,0.389000015258789,0.042711827903986,"Matteo Politano","a",1473,"OpenPlay",2020,"LeftFoot",14118,"Parma Calcio 1913","Napoli",0,2,"2020-09-20 10:30:00","Lorenzo Insigne","Pass",6
"9",11,14119,378069,74,"Goal",0.905,0.350999984741211,0.305906921625137,"Marko Pjaca","h",1577,"OpenPlay",2020,"RightFoot",14119,"Genoa","Crotone",4,1,"2020-09-20 13:00:00","Paolo Ghiglione","Pass",21
"10",31,14120,378260,86,"Goal",0.734000015258789,0.504000015258789,0.0543546974658966,"Mehdi Bourabia","h",7003,"DirectFreekick",2020,"RightFoot",14120,"Sassuolo","Cagliari",1,1,"2020-09-20 16:00:00",NA,"Standard",25
"11",30,14120,378259,85,"BlockedShot",0.725999984741211,0.565999984741211,0.017682021483779,"Gregoire Defrel","h",1468,"OpenPlay",2020,"RightFoot",14120,"Sassuolo","Cagliari",1,1,"2020-09-20 16:00:00","Georgios Kyriakopoulos","Pass",25
"12",29,14120,378258,82,"BlockedShot",0.915,0.257999992370605,0.0309419576078653,"Mert Müldür","h",7950,"OpenPlay",2020,"RightFoot",14120,"Sassuolo","Cagliari",1,1,"2020-09-20 16:00:00","Domenico Berardi","Pass",13
"13",12,14121,378330,70,"BlockedShot",0.818000030517578,0.699000015258789,0.0344245284795761,"Mattia De Sciglio","h",1120,"OpenPlay",2020,"RightFoot",14121,"Juventus","Sampdoria",3,0,"2020-09-20 18:45:00","Juan Cuadrado","Chipped",23
"14",32,14121,378334,76,"BlockedShot",0.696999969482422,0.482000007629395,0.011005780659616,"Valerio Verre","a",1569,"SetPiece",2020,"LeftFoot",14121,"Juventus","Sampdoria",3,0,"2020-09-20 18:45:00",NA,"Rebound",20
"15",29,14121,378327,65,"MissedShots",0.879000015258789,0.360999984741211,0.0546719953417778,"Fabio Quagliarella","a",1230,"OpenPlay",2020,"RightFoot",14121,"Juventus","Sampdoria",3,0,"2020-09-20 18:45:00",NA,"None",44
"16",31,14121,378333,76,"BlockedShot",0.72,0.720999984741211,0.0325062610208988,"Fabio Quagliarella","a",1230,"DirectFreekick",2020,"RightFoot",14121,"Juventus","Sampdoria",3,0,"2020-09-20 18:45:00",NA,"Standard",44
"17",33,14121,378339,79,"SavedShot",0.825999984741211,0.332999992370605,0.0398432053625584,"Fabio Quagliarella","a",1230,"OpenPlay",2020,"RightFoot",14121,"Juventus","Sampdoria",3,0,"2020-09-20 18:45:00","Valerio Verre","Pass",44
"18",35,14121,378342,86,"MissedShots",0.856999969482422,0.649000015258789,0.0661993995308876,"Fabio Quagliarella","a",1230,"OpenPlay",2020,"LeftFoot",14121,"Juventus","Sampdoria",3,0,"2020-09-20 18:45:00","Valerio Verre","Pass",44
"19",26,14121,378322,51,"MissedShots",0.771999969482422,0.755999984741211,0.0118261026218534,"Gastón Ramírez","a",952,"OpenPlay",2020,"LeftFoot",14121,"Juventus","Sampdoria",3,0,"2020-09-20 18:45:00","Fabio Quagliarella","GoodSkill",44
"20",27,14122,378522,83,"SavedShot",0.909000015258789,0.663000030517578,0.0738369077444077,"Nicola Sansone","a",1826,"OpenPlay",2020,"LeftFoot",14122,"AC Milan","Bologna",2,0,"2020-09-21 18:45:00","Mattias Svanberg","Pass",32
"21",26,14122,378521,78,"SavedShot",0.875999984741211,0.422000007629395,0.129456833004951,"Andreas Skov Olsen","a",7934,"OpenPlay",2020,"LeftFoot",14122,"AC Milan","Bologna",2,0,"2020-09-21 18:45:00","Musa Barrow","Pass",32
"22",28,14122,378523,86,"BlockedShot",0.899000015258789,0.590999984741211,0.075862355530262,"Federico Santander","a",6972,"SetPiece",2020,"RightFoot",14122,"AC Milan","Bologna",2,0,"2020-09-21 18:45:00","Danilo","None",9
"23",24,14123,378690,64,"SavedShot",0.916999969482422,0.465999984741211,0.0495945513248444,"Ruslan Malinovskiy","a",7947,"OpenPlay",2020,"Head",14123,"Torino","Atalanta",2,4,"2020-09-26 13:00:00","Duván Zapata","Aerial",25
"24",9,14124,378920,93,"MissedShots",0.950999984741211,0.56,0.114899046719074,"Leonardo Pavoletti","h",1104,"FromCorner",2020,"Head",14124,"Cagliari","Lazio",0,2,"2020-09-26 16:00:00","Fabrizio Caligara","Cross",11
"25",7,14125,378940,82,"SavedShot",0.905999984741211,0.424000015258789,0.034892663359642,"Fabio Depaoli","h",1624,"FromCorner",2020,"Head",14125,"Sampdoria","Benevento",2,3,"2020-09-26 16:00:00","Jakub Jankto","Rebound",30
"26",8,14125,378941,83,"ShotOnPost",0.891999969482422,0.412999992370605,0.0429601073265076,"Manolo Gabbiadini","h",1383,"OpenPlay",2020,"Head",14125,"Sampdoria","Benevento",2,3,"2020-09-26 16:00:00","Tommaso Augello","Cross",5
"27",14,14126,379096,69,"BlockedShot",0.783000030517578,0.56,0.0359396226704121,"Stefano Sensi","h",1465,"OpenPlay",2020,"RightFoot",14126,"Inter","Fiorentina",4,3,"2020-09-26 18:45:00","Marcelo Brozovic","Pass",24
"28",17,14126,379100,76,"SavedShot",0.771999969482422,0.404000015258789,0.0273546241223812,"Stefano Sensi","h",1465,"OpenPlay",2020,"RightFoot",14126,"Inter","Fiorentina",4,3,"2020-09-26 18:45:00","Arturo Vidal","Pass",24
"29",18,14126,379102,81,"BlockedShot",0.92,0.484000015258789,0.099054753780365,"Arturo Vidal","h",222,"OpenPlay",2020,"Head",14126,"Inter","Fiorentina",4,3,"2020-09-26 18:45:00","Alexis Sánchez","Cross",13
"30",30,14126,379097,71,"MissedShots",0.754000015258789,0.407000007629395,0.0247816201299429,"Dusan Vlahovic","a",7084,"OpenPlay",2020,"LeftFoot",14126,"Inter","Fiorentina",4,3,"2020-09-26 18:45:00","Pol Lirola","Pass",27
"31",31,14126,379101,80,"MissedShots",0.890999984741211,0.372999992370605,0.330700129270554,"Dusan Vlahovic","a",7084,"OpenPlay",2020,"RightFoot",14126,"Inter","Fiorentina",4,3,"2020-09-26 18:45:00","Franck Ribéry","Pass",27
"32",8,14127,379220,85,"SavedShot",0.908000030517578,0.617999992370605,0.0999052375555038,"Luca Mora","h",6181,"OpenPlay",2020,"LeftFoot",14127,"Spezia","Sassuolo",1,4,"2020-09-27 10:30:00","Diego Farias","Pass",11
"33",10,14127,379222,89,"SavedShot",0.866999969482422,0.703000030517578,0.0273603349924088,"Diego Farias","h",1605,"OpenPlay",2020,"RightFoot",14127,"Spezia","Sassuolo",1,4,"2020-09-27 10:30:00","Alessandro Deiola","Chipped",11
"34",12,14127,379224,90,"SavedShot",0.73,0.512000007629395,0.0138770285993814,"Alessandro Deiola","h",1634,"OpenPlay",2020,"RightFoot",14127,"Spezia","Sassuolo",1,4,"2020-09-27 10:30:00","Matteo Ricci","Pass",11
"35",13,14129,379465,92,"MissedShots",0.889000015258789,0.31,0.0729498341679573,"Pawel Dawidowicz","h",7923,"OpenPlay",2020,"LeftFoot",14129,"Verona","Udinese",1,0,"2020-09-27 13:00:00","Ebrima Colley","Pass",1
"36",12,14129,379464,89,"MissedShots",0.748000030517578,0.492999992370605,0.0405709706246853,"Ebrima Colley","h",8161,"OpenPlay",2020,"RightFoot",14129,"Verona","Udinese",1,0,"2020-09-27 13:00:00","Antonin Barak","HeadPass",11
"37",6,14129,379453,56,"Goal",0.944000015258789,0.449000015258789,0.531556785106659,"Andrea Favilli","h",1997,"OpenPlay",2020,"RightFoot",14129,"Verona","Udinese",1,0,"2020-09-27 13:00:00","Marco Faraoni","BallTouch",51
"38",8,14129,379455,60,"MissedShots",0.895,0.542000007629394,0.0483279451727867,"Andrea Favilli","h",1997,"OpenPlay",2020,"OtherBodyPart",14129,"Verona","Udinese",1,0,"2020-09-27 13:00:00","Federico Dimarco","Aerial",51
"39",11,14129,379462,71,"MissedShots",0.911999969482422,0.751999969482422,0.0454737618565559,"Andrea Favilli","h",1997,"OpenPlay",2020,"LeftFoot",14129,"Verona","Udinese",1,0,"2020-09-27 13:00:00","Federico Dimarco","Pass",51
"40",35,14129,379466,93,"MissedShots",0.888000030517578,0.660999984741211,0.020068122074008,"Ilija Nestorovski","a",1272,"OpenPlay",2020,"LeftFoot",14129,"Verona","Udinese",1,0,"2020-09-27 13:00:00",NA,"Aerial",10
"41",32,14129,379459,66,"SavedShot",0.774000015258789,0.709000015258789,0.0172386188060045,"Thomas Ouwejan","a",8922,"OpenPlay",2020,"RightFoot",14129,"Verona","Udinese",1,0,"2020-09-27 13:00:00",NA,"None",26
"42",16,14128,379647,71,"Goal",0.92,0.334000015258789,0.107572726905346,"Matteo Politano","h",1473,"OpenPlay",2020,"LeftFoot",14128,"Napoli","Genoa",6,0,"2020-09-27 16:00:00","Giovanni Di Lorenzo","Pass",22
"43",10,14128,379640,50,"SavedShot",0.855,0.44,0.1135588362813,"Eljif Elmas","h",7912,"OpenPlay",2020,"RightFoot",14128,"Napoli","Genoa",6,0,"2020-09-27 16:00:00","Giovanni Di Lorenzo","Pass",68
"44",15,14128,379646,68,"Goal",0.916999969482422,0.595999984741211,0.164144545793533,"Eljif Elmas","h",7912,"OpenPlay",2020,"RightFoot",14128,"Napoli","Genoa",6,0,"2020-09-27 16:00:00","Elseid Hysaj","TakeOn",68
"45",18,14128,379649,91,"MissedShots",0.758000030517578,0.764000015258789,0.0368569418787956,"Faouzi Ghoulam","h",1387,"DirectFreekick",2020,"LeftFoot",14128,"Napoli","Genoa",6,0,"2020-09-27 16:00:00",NA,"Standard",15
